time_s,rms_dbfs,spectral_centroid_hz,onset_strength
17.4507,-19.6554,1442.693,1.71837
17.4933,-19.6547,1398.745,1.75676
17.5360,-19.5989,1269.692,1.66116
17.5787,-19.4408,1164.742,1.51208
17.6213,-19.4881,1021.597,1.39533
17.6640,-19.2970,910.947,1.40618
17.7067,-19.4057,894.476,1.41018
17.7493,-19.5309,739.527,1.44518
17.7920,-19.3954,630.666,1.78864
17.8347,-19.5966,657.320,1.73687
17.8773,-19.7549,657.551,1.85752
17.9200,-19.3974,663.232,1.84415
17.9627,-19.1938,678.085,1.91787
18.0053,-19.5464,642.446,2.14244
18.0480,-19.2408,532.490,2.31488
18.0907,-19.1693,591.836,2.42805
18.1333,-19.3672,623.355,2.45845
18.1760,-19.1660,669.001,2.36327
18.2187,-18.9806,738.935,2.40745
18.2613,-18.8003,796.236,2.50879
18.3040,-18.7125,886.199,2.64546
18.3467,-19.4240,1018.109,2.58951
18.3893,-19.5127,1124.457,2.50257
18.4320,-19.2714,1200.321,2.18713
18.4747,-18.8087,1225.837,2.29613
18.5173,-18.7795,1165.090,2.27362
18.5600,-18.7732,1105.413,2.22874
18.6027,-18.6006,1055.781,1.97304
18.6453,-18.5538,1020.035,1.87169
18.6880,-18.3027,1005.290,1.75673
18.7307,-18.2945,955.064,1.67624
18.7733,-18.0334,860.014,1.98840
18.8160,-17.7666,890.965,1.89849
18.8587,-18.0896,924.106,1.89387
18.9013,-17.7943,953.347,1.82871
18.9440,-17.7070,988.107,1.72015
18.9867,-17.6645,920.734,1.87822
19.0293,-17.5654,835.209,1.98174
19.0720,-17.5133,789.914,2.00978
19.1147,-17.5147,778.061,1.97452
19.1573,-17.7387,718.078,1.93521
19.2000,-17.8418,705.930,1.96279
19.2427,-18.1076,674.396,1.92798
19.2853,-18.3896,639.900,2.40683
19.3280,-18.9914,732.638,2.33043
19.3707,-19.0891,785.569,2.29257
19.4133,-19.1601,903.401,2.03437
19.4560,-19.0654,969.745,2.09844
19.4987,-18.6834,987.103,2.16023
19.5413,-19.0001,941.772,2.19528
19.5840,-18.9312,941.780,2.12713
19.6267,-18.8878,932.893,2.25795
19.6693,-18.6003,925.242,2.26483
19.7120,-18.5415,918.745,2.25985
19.7547,-18.5588,792.757,2.61734
19.7973,-18.3056,818.127,2.50998
19.8400,-18.9943,838.538,2.67576
19.8827,-19.0087,898.122,2.91606
19.9253,-19.1207,995.331,2.40669
19.9680,-18.9847,958.741,2.50034
20.0107,-18.5469,885.872,2.59839
20.0533,-18.6999,906.705,2.67329
20.0960,-18.6808,958.032,2.67960
20.1387,-18.7084,962.548,2.68853
20.1813,-18.4522,1014.514,2.67434
20.2240,-18.6437,1013.784,2.75767
20.2667,-18.7636,962.860,2.78332
20.3093,-18.9730,1116.575,2.63551
20.3520,-18.8596,1192.992,2.60564
20.3947,-18.6451,1300.354,2.23180
20.4373,-18.5328,1335.562,2.33059
20.4800,-18.4289,1256.318,2.24598
20.5227,-18.5344,1165.627,2.10434
20.5653,-18.4133,1120.241,2.10204
20.6080,-18.3990,1125.406,2.08971
20.6507,-18.3229,1088.593,2.11378
20.6933,-18.1466,1056.233,1.98202
20.7360,-18.0900,932.625,2.27226
20.7787,-18.0441,962.535,2.16579
20.8213,-18.8137,1019.715,2.13201
20.8640,-18.8361,1098.638,2.21000
20.9067,-18.7731,1218.795,2.08266
20.9493,-18.6748,1175.406,2.16118
20.9920,-18.6906,1088.918,2.23198
21.0347,-18.6246,1105.308,2.35505
21.0773,-18.7728,1283.996,2.29950
21.1200,-18.7987,1361.866,2.39019
21.1627,-19.0802,1504.783,2.32566
21.2053,-19.0683,1613.931,2.31386
